trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
63,False,"{'a': 0.95, 'e': 0.000244140625}",20,0,28.87439687450864,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.95, 'e': 0.00023668639053254438}",30,11,27.519647320204978,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.95, 'e': 0.0002295684113865932}",20,0,33.78652008674687,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.95, 'e': 0.00022276676319893073}",35,3,48.04677489660712,"{0: 32, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.95, 'e': 0.00021626297577854672}",30,7,36.3441136762553,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.95, 'e': 0.00021003990758244065}",20,0,5.337793264563771,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
69,False,"{'a': 0.95, 'e': 0.00020408163265306123}",25,14,15.844517840886876,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.95, 'e': 0.00019837333862328903}",25,11,22.710336282115392,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.95, 'e': 0.00019290123456790122}",20,6,-0.47426260192552916,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
72,False,"{'a': 0.95, 'e': 0.00018765246762994934}",20,8,14.64621311337497,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.95, 'e': 0.00018261504747991235}",25,14,18.100932665782594,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.95, 'e': 0.00017777777777777779}",35,26,13.580608298001586,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.95, 'e': 0.00017313019390581717}",20,10,12.433943154540898,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.95, 'e': 0.00016866250632484398}",20,0,8.652470399428983,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
77,False,"{'a': 0.95, 'e': 0.0001643655489809336}",30,1,36.30192900791291,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.95, 'e': 0.0001602307322544464}",25,0,38.498528857743594,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.95, 'e': 0.00015625}",25,11,21.901933361795574,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.95, 'e': 0.00015241579027587258}",20,0,19.171235891469173,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.95, 'e': 0.000148720999405116}",20,0,20.800584459878223,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
82,False,"{'a': 0.95, 'e': 0.00014515894904920887}",25,16,15.160226677464639,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.95, 'e': 0.0001417233560090703}",30,22,-27.47073970667717,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
84,False,"{'a': 0.95, 'e': 0.0001384083044982699}",20,11,12.701796450217005,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.95, 'e': 0.00013520822065981613}",20,0,33.33357214916901,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.95, 'e': 0.0001321178491214163}",20,13,11.453163512477897,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.95, 'e': 0.00012913223140495868}",20,2,29.115203545980613,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.95, 'e': 0.00012624668602449185}",30,9,22.54831643059999,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
